Zone,Circle_Name,Division_Name,SubStation_Name,Feeder_Name,newMeterNumber,3/1/2026,3/2/2026,3/3/2026,3/4/2026,3/5/2026,3/6/2026,3/7/2026,3/8/2026,3/9/2026,3/10/2026,3/11/2026,3/12/2026,3/13/2026,3/14/2026,3/15/2026,3/16/2026,3/17/2026,3/18/2026,3/19/2026,3/20/2026,3/21/2026,3/22/2026,3/23/2026,3/24/2026,3/25/2026,3/26/2026,3/27/2026,3/28/2026,3/29/2026,3/30/2026,3/31/2026,4/1/2026,4/2/2026,4/3/2026,4/4/2026,4/5/2026,4/6/2026,4/7/2026,4/8/2026,4/9/2026,4/10/2026,4/11/2026,4/12/2026,4/13/2026,4/14/2026,Avg_Duration_Per_Day
VARANASI,EUDC I VARANASI,"EUDD BHELUPUR, VARANASI",33/11 KV GADOLIA S/ S,RAMAPURA -II,HP9000691,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,23,24,24,24,24,24,24,24,24,24,24,24,24,24,null,23.5,24,24,24,24,24,24,24,24,24,23.94318182
VARANASI,EDC GHAZIPUR,"EDD JANGIPUR,GHAZIPUR","33/11 KV ALAWALPUR, KADIPUR",SIVRARIDIH,HP9000760,19,19.5,20,21.5,24,19,19.5,18.5,15,20.5,19.5,20,18.5,20,17,19.5,20,16.5,16.5,18.5,17,14.5,16,18.5,18,18.5,18,16.5,12,18,17.5,17,18,17.5,null,15.5,13,15.5,15.5,15.5,16.5,15.5,15,16.5,15.5,17.57954545
VARANASI,EDC GHAZIPUR,EDD ZAMANIA,33/11 KV GOHADA,AWATI,HP9000921,22,21,19.5,21.5,24,19,19.5,22,20,24,23,21.5,20.5,20,21,21,20,18.5,20,18.5,19.5,23.5,22.5,20,20.5,19.5,18,19.5,17.5,20,19.5,21,19.5,20.5,null,null,15.5,16,15.5,18,15.5,15,14.5,15,15.5,19.48837209
AZAMGARH,EDC I AZAMGARH,"EDD SAGADI,AZAMGARH",33/11 KV BILARIAGANJ TOWN SUBSTATION,NAYA CHOWK TOWN NO 2,HP9001135,23.5,22.5,23,23,24,22.5,22.5,22.5,22.5,23.5,23,23,23.5,22,22.5,23,20.5,22.5,22.5,22,22.5,23.5,22,22,19,22.5,22.5,21,22.5,18.5,22.5,22.5,22.5,22.5,null,22,24,23,23.5,22.5,23,21.5,20,23,22.5,22.38636364
AZAMGARH,EDC BALLIA,EDD BALLIA NAGAR,33/11 KV HANUMANGANJ,HANUMANGANJ,SC10293091,24,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,23.5,24,23.5,18,24,23,24,24,24,23,23.5,23.5,21.5,24,null,null,23.5,null,23.5,24,24,24,24,24,24,24,24,23.66666667
VARANASI,EDC GHAZIPUR,"EDD JANGIPUR,GHAZIPUR",PARA,BENSAGAR,SC10293244,20.5,19,20,19.5,24,18.5,18,20.5,19,20.5,20.5,19.5,16.5,19,16.5,19.5,21,19,16.5,19,16,11.5,17,18.5,17,15,17,17.5,15,16.5,17.5,17,17.5,16,14,14.5,13.5,15.5,16,15.5,17.5,15,15.5,16,17,17.45555556
PRAYAGRAJ,EDC II PRAYAGRAJ,"EDD GANGAPAR,PRAYAGRAJ",33/11 KV PHULPUR,LOCHAN GANJ,SC10349562,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23,22.5,22.5,22,21,21.5,24,23,22.5,22.5,22.5,22.5,22.5,20,23,22.5,22.5,21.5,22,22.5,22.5,23,23,23,23,23,23,22.5,23,19,22.36666667
PRAYAGRAJ,EDC I PRAYAGRAJ,"EDD YAMUNAPAR,PRAYAGRAJ",33/11 KV SHANKARGARH,SHANKARGARH NEW,SC10349576,23,23.5,22.5,24,22.5,22.5,22.5,22.5,22.5,23,23,23.5,22,21.5,20,23,22.5,22.5,null,23.5,21,24,23.5,23,21,22.5,22.5,22.5,22,23.5,22.5,22.5,23,23,23,null,null,null,null,22.5,23.5,23.5,22.5,23.5,21.5,22.6625
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD NAINI,33/11 KV INDALPUR,MAHEWA,HP8500182,24,24,23.5,24,24,24,24,24,24,23.5,24,24,24,24,null,24,24,24,23.5,24,24,23.5,24,24,24,23.5,24,23.5,24,24,24,23.5,21.5,24,23.5,20.5,24,24,24,24,24,24,23,24,24,23.75
PRAYAGRAJ,EDC PRATAPGARH,EDD RANIGANJ,PURE HIRAWAN,MAA BARAHI,HP8500245,23.5,22,null,24,24,19.5,19.5,22.5,18.5,23.5,21,23.5,20.5,20.5,20,20,21.5,20,20.5,19,20,24,23.5,20.5,18.5,20,20,20.5,20,20.5,18,17,18,21,19.5,20.5,22.5,21.5,17.5,19,19.5,22.5,19,20,18.5,20.56818182
PRAYAGRAJ,EDC KAUSHAMBI,EDD CHAYAL,33/11 KV SARAI AKIL,MANJHANPUR,HP8500435,18.5,18.5,17.5,17.5,24,18.5,18.5,19,23,19,16.5,19,18.5,18,19,19,17.5,19,18.5,19,19,24,18,18,19,19,19,17.5,18,18.5,18.5,18.5,15.5,18,18,16,17,18.5,12,8,18.5,18.5,18,15,18.5,18.14444444
PRAYAGRAJ,EDC FATEHPUR,"EDD BINDAKI,FATEHPUR",33/11 KV JAHANABAD,GHANSHYAMPUR,HP8500840,10,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10,10.5,10.5,10.5,10.5,11,10.5,10.5,9.5,10.5,10.5,9.5,12,10,10,10.5,10.5,7,10,10,10.5,10.5,7,10.5,10.5,10.5,8.5,2.5,9.5,9,7.5,5,8.5,9.5,6,9.644444444
AZAMGARH,EDC I AZAMGARH,"EDD LALGANJ,AZAMGARH",33/11 KV PALHANA,LAHUWA,HP9000104,18.5,19.5,19,19,24,19,19,19,19,19.5,19.5,19.5,17.5,19,19.5,21,19.5,20,19,19.5,19.5,18,22,19,19,19.5,20,19,19,19.5,20.5,18.5,17,17.5,null,16.5,15,17,15,19,18,15,12,16.5,14,18.53409091
AZAMGARH,EDC II AZAMGARH,EDD PHOOLPUR,33/11 KV AHRAULA,ATARAULIA,HP9000195,24,19,21,20,24,19,17.5,23,18.5,22,20.5,21,23,20,21.5,22.5,19,20,20.5,19.5,20.5,24,23,21,19,21,20,20.5,16.5,20.5,19,18.5,16.5,20.5,null,17,14.5,14.5,14,15.5,16.5,15,15.5,16.5,15.5,19.32954545
VARANASI,EDC II JAUNPUR,"EDD BADALAPUR,JAUNPUR",33/11 KV SURARI,SULTANPUR,HP9000615,21.5,19.5,19.5,21.5,24,19,18.5,21.5,18.5,22.5,21.5,23.5,21,21.5,20,20.5,19,19,18.5,20.5,19,23,23.5,19,19.5,19,20,15.5,19.5,21.5,19,19.5,17,16.5,17,18.5,21.5,19,21,21,18,17.5,14,15.5,14.5,19.55555556
VARANASI,EUDC I VARANASI,"EUDD CHAUKAGHAT, VARANASI",33/11 KV CHAUKAGHAT,TELIA BAG,HP9000675,24,24,24,24,23,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,22,24,24,24,24,24,24,24,24,24,24,24,24,24,null,21.5,24,24,24,24,24,24,24,24,24,23.86363636
VARANASI,EUDC II VARANASI,"EUDD MACHCHODARI, VARANASI",33/11 KV MAIDAGIN,PILIKOTHI,HP9000681,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,null,23,24,24,24,24,24,24,23,24,24,23.94318182
MIRZAPUR,EDC BHADOHI,EDD I BHADOHI,33/11 KV BHADOHI,MAMHAR,SC10292953,19,null,19.5,20.5,24,19.5,19,19.5,19.5,22.5,18.5,20,20.5,21.5,20.5,21,19,17.5,null,17,17,19.5,23.5,20.5,20,19.5,19.5,18,19.5,21.5,19.5,19,18,19.5,17.5,20.5,18,21.5,19,16,20,20,18,19.5,19,19.58139535
MIRZAPUR,EDC-MIRZAPUR,EDD MIRZAPUR,33/11 KV AKASAULI,PATIYA,SC10292988,22.5,20,18.5,21.5,24,20,19.5,19,19.5,21.5,21.5,21.5,16.5,21.5,21,21,19.5,19,21,null,16.5,19,17,19.5,20,18.5,19,17,19,20.5,19,19.5,19,19.5,11.5,13.5,18,21,19,16.5,20,17.5,13,15,20,19.01136364
VARANASI,EUDC II VARANASI,"EUDD VARUNAPAR, VARANASI",33/11 KV KOHILWA SUBSTATION,NORMAL SCHOOL,SC10293105,24,24,24,24,24,23.5,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,23,23.5,24,24,24,20.5,24,24,24,24,24,23.84444444
VARANASI,EUDC I VARANASI,"EUDD BHELUPUR, VARANASI",33/11 KV SHANKUL DHARA,JAWAHAR NAGAR,SC10293132,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,23.97777778
VARANASI,EUDC I VARANASI,"EUDD CHETMANI, VARANASI",33/11 KV KABIR NAGAR,DURGA MANDIR,SC10293140,24,24,24,24,24,24,24,24,24,20,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,24,24,24,24,24,24,24,24,23.9
PRAYAGRAJ,EDC I PRAYAGRAJ,EDD MEZA,33/11 KV BIJAURA,RURAL,SC10349661,0,0,0,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD KARELABAGH,33/11 KV KARELA BAGH,NOORULLAH,SC10292840,24,24,23.5,22.5,16.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23.58695652
PRAYAGRAJ,EDC PRATAPGARH,EDD PRATAPGARH,33/11 KV KARAILA,KARAILA,HP8500228,24,20,19,20.5,24,19.5,19.5,22,20,23.5,22.5,22.5,20,23,null,21.5,null,20,null,19.5,17,23,23,19.5,21,20.5,18.5,19.5,19,20.5,19,19,19,21,20,18.5,21.5,19.5,22,20,20,16.5,15,20.5,18,20.28571429
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD MEOHALL,33/11 KV CIVIL LINES,11 KV O/G CIVIL LINES,HP8500296,24,24,24,24,24,24,24,24,24,24,24,24,null,24,24,24,24,24,23.5,24,21,24,24,24,24,23,24,23.5,24,24,24,24,22.5,24,23.5,24,23,24,24,24,24,24,24,24,24,23.81818182
PRAYAGRAJ,EDC KAUSHAMBI,EDD KAUSHAMBI,33/11 DARANAGAR,SHEETLA DHAM,HP8500464,24,21.5,20.5,20,24,null,19.5,23,19,22.5,21,23,18.5,19,19.5,22,19.5,20.5,17.5,20.5,18.5,24,23.5,21,19,21,19.5,20,19,20.5,18.5,18,13.5,17,15,17.5,17.5,16.5,13.5,15.5,16,16,15,15.5,14,19.09090909
PRAYAGRAJ,EDC FATEHPUR,"EDD BINDAKI,FATEHPUR",BABAI,BATHIYAPUR,HP8500947,11.5,10.5,11.5,12,11,11,11,11,10.5,11.5,10.5,10.5,11,10.5,6,10,10.5,10.5,10.5,10.5,11,11,16,10.5,10.5,10.5,10.5,11,11,10.5,11.5,10.5,11.5,10,10,11,7,10,10,4.5,10,10.5,11.5,17,16.5,10.8
AZAMGARH,EDC-MAU,"EDD GHOSI,MAU",33/11 KV Tesupar,Sultanpur,HP9000137,24,19.5,21,21,23.5,19,19,21.5,20,24,null,22.5,24,22.5,21,22,19,19,19.5,20,18,20.5,22.5,20,20.5,18.5,19,18.5,15,18.5,19,19,19,15,null,14,8.5,16.5,15.5,17.5,16,14,14,14.5,17.5,18.90697674
AZAMGARH,EDC I AZAMGARH,"EDD LALGANJ,AZAMGARH",33/11 KV MANJHARI,KARIYBAR,HP9000167,18.5,20,18,18.5,24,19.5,18.5,19,19.5,19,20,19.5,19,18.5,15.5,20.5,19.5,20,18.5,18.5,17,21.5,20,19,19.5,17,15,15,18,16.5,16,15,11.5,16,null,15,10.5,15.5,12.5,12.5,17,14.5,12.5,15,14,17.27272727
AZAMGARH,EDC-MAU,"EDD GHOSI,MAU",33/11 KV Ghosi (Gramin),East,HP9000340,23,21,20,24,24,20,18.5,19.5,20.5,22,22,20.5,23.5,20,21.5,21.5,19.5,19.5,19.5,20,18.5,23.5,22,20,22,19,19,18.5,18.5,18.5,18.5,18.5,18.5,18,null,16,15,16,16.5,19,19,15,16,15.5,17.5,19.51136364
VARANASI,EDC GHAZIPUR,EDD ZAMANIA,33/11 KV GOHADA,Substation,HP9000923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,0,0,0,0,0,0,0,0,0,0
VARANASI,EDC-CHANDAULI,EDD CHANDAULI,33/11 KV SAHABGANJ,BHUSI BHORSDAR,HP9000996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0
VARANASI,EDC GHAZIPUR,EDD GHAZIPUR NAGAR,33/11 KV MOHAMDABAD,GAUSPUR,SC10293305,19,22,19,21.5,24,19,19,18,20,21.5,19,19,18.5,21.5,17.5,19,19,19.5,19.5,20,17.5,15,23,20,19.5,19,18,19.5,18,21,20,20,19.5,17.5,10,15,14,16.5,15.5,19,13.5,16,13.5,13,13.5,18.27777778
VARANASI,EDC VARANASI,"EDD BARAIPUR, VARANASI",33/11 KV KURSATO,KISAN PTW,SC10349705,null,null,null,10.5,10.5,null,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,11,10.5,11,10.5,11,10.5,7.5,10,11,11,10.5,11,10.5,9.5,9.5,10.5,10.5,10.5,10,10.5,10,11,10.5,11.5,11,10.5,11,9.5,8.5,10.5,10.5,10.40243902
VARANASI,EUDC II VARANASI,"EUDD VARUNAPAR, VARANASI",33/11 KV TARANA,PARWATI MILL,SC10349723,24,24,24,24,24,24,24,24,24,22.5,24,24,24,24,24,24,24,24,24,23.5,24,23.5,24,24,24,24,24,23.5,24,24,24,24,24,24,24,null,24,24,24,24,24,24,24,24,24,23.93181818
PRAYAGRAJ,EDC FATEHPUR,EDD FATEHPUR,33/11 KV S/S Bahua,LALUALI,HP8500038,19.5,19.5,21,21.5,24,22.5,21,21.5,19.5,20.5,18.5,20.5,21,20,null,19.5,19.5,21,17.5,19.5,9.5,11.5,19,18.5,17.5,19.5,18,16,18,18.5,17,18,2,18.5,15.5,12.5,2.5,19,11,13.5,18,15.5,17.5,16.5,18,17.46590909
PRAYAGRAJ,EDC FATEHPUR,EDD FATEHPUR,33/11 KV SAURA,INDUSTRIAL I,HP8500045,24,24,24,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,19.5,24,24,24,24,24,24,24,24,24,24,24,16.5,24,24,23.5,21.5,23.5,23.5,22,24,24,24,24,24,23.58888889
MIRZAPUR,EDC-MIRZAPUR,EDD CHUNAR,33/11 KV AHRAURA,JAMALPUR,HP8500693,19,19,19.5,19,24,19,19,19,19.5,19.5,19,17,19,19.5,19,18.5,19.5,19.5,19,18.5,19,16.5,19.5,19.5,19.5,19.5,18,18,19,19,19,19.5,18.5,18.5,18.5,19,19.5,20.5,18.5,19,18.5,17,17,19.5,18.5,18.96666667
PRAYAGRAJ,EUDC II PRAYAGRAJ,EUDD TAGORE TOWN,33/11 KV NEW MES SUBSTATION,MES,HP8500924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRZAPUR,EDC-MIRZAPUR,EDD CHUNAR,132/33/11 KV PIRALLIPUR CHUNAR(OLD),J P SEAT,HP8500943,24,24,23.5,21,24,24,24,24,23.5,24,24,15,14.5,24,23,22,24,24,24,24,24,22.5,24,24,22,14.5,24,15,24,24,24,24,23.5,23,22,12.5,15.5,24,23,23,24,24,24,24,24,22.37777778
VARANASI,EDC VARANASI,"EDD HARAHUA, VARANASI",33/11 KV TAHSIL PINDRA,TAHSIL FEEDER,HP9000003,24,24,24,24,24,24,24,24,24,24,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23.5,24,23.5,24,22,23.5,24,24,23,24,24,24,24,24,23.5,23.86666667
AZAMGARH,EDC II AZAMGARH,EDD PHOOLPUR,33/11 KV KHUTAULI,MAUNA,HP9000174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0
VARANASI,EDC VARANASI,"EDD HARAHUA, VARANASI",33/11 KV NEWADA,RAJPUR,HP9000436,0,8,23.5,24,24,24,24,22.5,24,24,24,22,24,21.5,24,23.5,24,21,24,24,23,21,24,24,24,24,24,23.5,23.5,24,24,24,24,24,null,23,23,24,23.5,24,24,23,24,24,24,22.67045455
VARANASI,EDC I JAUNPUR,"EDD BUXA,JAUNPUR",33/11 KV GORIYAPUR,DHANIYA MAU,HP9000506,21,17.5,19.5,20.5,24,18.5,19,22,20,22.5,22,22,22.5,18.5,21.5,23,19.5,20,14.5,18,18.5,18,21.5,21,18.5,19,19.5,20,16,21.5,19,20.5,19.5,19.5,null,18.5,15,19.5,19,12,20,19.5,16.5,18,18.5,19.42045455
VARANASI,EDC I JAUNPUR,"EDD KERAKAT,JAUNPUR",33/11 KV KERAKAT NAIBAZAR,DEVKALI,HP9000542,23.5,16.5,19.5,20.5,24,18.5,20.5,22,20,23.5,24,24,24,20.5,19,22,19,20,20.5,19,17,21,22,21.5,19,19.5,19.5,20,19.5,21.5,19.5,21,16.5,19.5,null,18.5,21,22,20.5,20.5,18.5,19,17.5,20,18,20.29545455
VARANASI,EDC I JAUNPUR,"EDD KERAKAT,JAUNPUR",33/11 KV MURTAZABAD,COLD STORAGE1,HP9000622,13.5,13,19,18,19,14.5,19,18,18.5,18.5,18,19.5,16,20,15.5,23,18.5,17,19,19.5,19,18.5,20.5,17.5,16,16.5,16,17,15,12,19.5,17.5,17.5,16.5,null,null,17.5,17,12,12.5,13,17.5,12,11.5,12,16.76744186
PRAYAGRAJ,EDC PRATAPGARH,"EDD KUNDA,PRATAPGARH",33/11 KV BIHAR,Mirdahan Gopalpur,SC10292625,20.5,22,20.5,20.5,24,19.5,19.5,21.5,19.5,22.5,21,23,18.5,20.5,20,22,21,20,20,19,19,20.5,23,20.5,14.5,20,20,19.5,19.5,18,null,19,11,20,19.5,20.5,22,21.5,18,19,20,21.5,13,19.5,17,19.79545455
PRAYAGRAJ,EDC PRATAPGARH,EDD PRATAPGARH,33/11 KV CHILBILA,EAST,SC10292653,20,21,20,20,24,19,20,21.5,18,22.5,21,23,21,20.5,null,null,20,20,21,19.5,17.5,20.5,22.5,20.5,19,19.5,19,18.5,20,19.5,19.5,17.5,14.5,20.5,17.5,17.5,17.5,15.5,14,18.5,20.5,20,16.5,20,17,19.41860465
PRAYAGRAJ,EDC PRATAPGARH,EDD PRATAPGARH,33/11 KV CHILBILA,WEST(CHILBILA),SC10292655,20,21.5,20,20,24,19,20,21,18,22.5,20,23,21,20.5,null,null,20,20,21,19.5,19,24,23,20.5,19,20,19.5,19.5,19,20.5,19.5,19.5,14.5,19,18,17,17,21,16.5,19,20.5,20.5,16.5,20,17,19.77906977
MIRZAPUR,EDC-MIRZAPUR,EDD MIRZAPUR,33/11 KV Parsia,Sub station,SC10292859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AZAMGARH,EDC I AZAMGARH,"EDD SAGADI,AZAMGARH",33/11 KV JEANPUR,Kirshi west feedar,SC10293441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAYAGRAJ,EDC II PRAYAGRAJ,"EDD GANGAPAR,PRAYAGRAJ",33/11 KV HETAPATTI,HETAPATTI,SC10349535,22,18.5,19.5,22.5,null,null,19.5,23.5,18.5,22,22.5,23.5,21,19.5,21,19,20,19.5,20.5,20,17.5,24,15,15.5,19.5,null,20,15.5,18.5,21,19,19.5,11.5,19.5,18.5,18,20,20,18.5,19,20,20,18.5,17,16,19.38095238
PRAYAGRAJ,EDC I PRAYAGRAJ,EDD MEZA,33/11 KV MEJA ROAD,KORAON,SC10349550,24,21,20.5,20.5,24,21,21.5,23,22,23,22.5,22.5,null,20.5,20.5,21,21,21,21,20.5,20.5,18,21.5,21,15.5,21,21,20,19,21,20.5,20.5,14.5,21,21,20.5,18.5,21.5,19.5,18,22,20.5,19,20.5,20,20.61363636
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD RAMBAGH,33/11 KV ALLAHPUR,11 KV O/G MATIYARA,SC10349657,24,23.5,23.5,23.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,19.5,24,24,24,24,24,24,24,23.5,24,24,24,24,23.5,24,24,24,24,24,24,24,23.84444444
VARANASI,EDC-CHANDAULI,EDD CHANDAULI,33/11 KV CHAKARGHATTA,PARSIA,HP9001052,21.5,20.5,20,18.5,23.5,19.5,19,22,19.5,24,23,20.5,21,20,14,18,18.5,18,20.5,19,18,13.5,14,18.5,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19.02
PRAYAGRAJ,EUDC I PRAYAGRAJ,EUDD NAINI,33/11 KV AWAS VIKAS JHUNSI,11 KV YOJNA 3 PURVI,HP8500160,23,24,24,23.5,24,24,24,24,24,24,24,23.5,24,24,24,22,24,24,null,24,22,24,24,22.5,24,21.5,23.5,24,24,24,24,24,21,22,23.5,23,24,24,23.5,24,24,24,24,24,24,23.60227273
VARANASI,EDC I JAUNPUR,"EDD KERAKAT,JAUNPUR",33/11 KV SHEHMALPUR,SIRKONI,HP9000512,19.5,19.5,20,20.5,24,19,20,21.5,19.5,19.5,21.5,20,21,21,19.5,20,19.5,19.5,20.5,19.5,19,19,17,21,19.5,19.5,20,21,14.5,20,19.5,20.5,19,20,null,18.5,17.5,19.5,20.5,20,20.5,19.5,17.5,19,19,19.68181818
VARANASI,EDC I JAUNPUR,"EDD KERAKAT,JAUNPUR",33/11 KV KERAKAT NAIBAZAR,SARAUNI,HP9000541,21.5,19.5,20,20,24,18.5,20,20.5,20,21,21,19.5,22.5,20.5,19,22,19.5,20,20.5,19.5,16.5,21,22,22,19,19.5,19.5,20,19.5,21,18.5,21,16.5,19.5,null,19,22.5,21.5,20.5,22,21,19.5,17,20,19,20.14772727
VARANASI,EDC-JAUNPUR,EDD JAUNPUR NAGAR,33/11 KV AHIYAPUR,WORLD BANK,HP9000643,24,24,24,24,24,23.5,23.5,23.5,24,23,24,24,24,24,23.5,24,24,24,24,23.5,24,22.5,24,24,24,23.5,23.5,24,24,24,24,20.5,23,23.5,21.5,null,22.5,24,22.5,23,24,23,24,24,24,23.57954545
VARANASI,EDC-CHANDAULI,"EDD SAKALDIHA,CHANDAULI",33/11 KV DHANAPUR,DHANAPUR DEHAT,HP9001008,20,18,18.5,21.5,24,19,16.5,null,18.5,21.5,null,21.5,21.5,19,20.5,19,19,19,19,19,16.5,17,19,18.5,18,18.5,19,17.5,18.5,18.5,15,18.5,16.5,18,null,13.5,13,14.5,14.5,14.5,14.5,14.5,14,14.5,13.5,17.73809524
VARANASI,EDC-CHANDAULI,"EDD SAKALDIHA,CHANDAULI",33/11 KV PACHKHARI,NAI BAZAR,HP9001026,19.5,21,19.5,21.5,24,19,20,21.5,20,23.5,22.5,21.5,21,18,19.5,21.5,20,19,20.5,20.5,15,13.5,21.5,21,19.5,17,19,17,12.5,16.5,19.5,21,19.5,18,null,13.5,17,15,12,15,9,14,11,12,13.5,18.09090909
VARANASI,EUDC II VARANASI,"EUDD SARNATH, VARANASI",33/11 KV PANDEYPUR,SHIVPUR,HP9001076,24,24,24,24,24,24,24,24,24,23.5,null,24,24,24,24,24,24,24,24,24,23.5,23.5,24,24,22,24,24,24,24,24,24,24,23,24,null,23.5,24,24,24,24,24,24,24,24,24,23.88372093
VARANASI,EDC VARANASI,"EDD HARAHUA, VARANASI",33/11 KV NEWADA,ODAR PTW,HP9001192,9,5,10,9.5,10,10,10,8.5,10,10,10,10,10,9,10,9,10,10,10,10,9,5.5,10,9.5,10.5,10,10.5,9.5,7,10,10,10,5,9.5,null,9.5,9,9.5,10,10.5,10,7.5,10,10,10,9.363636364
MIRZAPUR,EDC SONBHADRA,EDD ROBERTSGANJ,132/33/11 KV CHAPKA,GURMA,SC10292563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRAYAGRAJ,EDC KAUSHAMBI,EDD KAUSHAMBI,33/11 KV MANJHANPUR,KARARI,SC10292798,23.5,23.5,23,23.5,24,24,24,23.5,23.5,22,24,23,21.5,23,23.5,21.5,23.5,23,24,24,22,18.5,18,23.5,24,22,23,23.5,24,23,20.5,24,19,21,22,21.5,20.5,24,20,23,24,20,19.5,22.5,18.5,22.37777778
AZAMGARH,EDC-MAU,EDD MAU,33/11 KV RAHAJANIYA,PANIYARA RURAL,SC10293083,20,19,19.5,19.5,24,19,19,19.5,23.5,21.5,20.5,19,19.5,19,19.5,19.5,19,19,20,18.5,18,22.5,19.5,19,19,19,18.5,18,15.5,18,18.5,null,18.5,18,16,17,15,18,17.5,18.5,18,17.5,16.5,15.5,18,18.80681818
AZAMGARH,EDC-MAU,EDD MAU,33/11 KV ADARI,HATHANI,SC10293396,23,19,19,21,24,20,20,19.5,18,21.5,20.5,22,22.5,21,23.5,21.5,21.5,20.5,19.5,21,17.5,17.5,22.5,21.5,18,19.5,19,18.5,15,19,19,18.5,19,19,15.5,15,12,16,15.5,18,16,15,16.5,16,18,19.01111111
AZAMGARH,EDC BALLIA,EDD BALLIA NAGAR,33/11 KV NEW CIVIL LINE,GADHWAR,SC10293426,24,23,23.5,24,24,23,23.5,23,23,24,24,24,24,24,24,24,24,22.5,23,23.5,20,19,24,24,24,24,22.5,22,22,23.5,24,24,24,23,23.5,23.5,23,24,21.5,24,24,24,24,22.5,23.5,23.32222222
PRAYAGRAJ,EDC I PRAYAGRAJ,EDD MEZA,33/11 KV SIRSA 1 (BARI),SIRSA TOWN-II,SC10349573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,null,0
VARANASI,EDC II JAUNPUR,EDD MACHHLISHAHAR,MACHHALISHAHAR RURAL,BARAIPUR,SC10349732,22.5,18.5,18,21,24,17,18,22.5,18,21.5,21.5,21.5,22,20,21.5,21.5,20,20,20.5,16.5,17.5,20,18.5,19,19,18,18.5,19.5,19.5,20.5,19.5,19,11,16.5,16.5,18.5,18.5,19.5,19,15,21.5,16.5,15,13.5,14.5,18.88888889
PRAYAGRAJ,EDC KAUSHAMBI,EDD KAUSHAMBI,33/11 KV SAINI NARSINGHPURBKACHHUWA,GULAMIPUR PTW,SC10404543,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,9,5.5,8.5,6.5,10,4.5,7.5,7.5,4.5,9,12,7.5,12,10.5,8.3
